t,x,y
1.116000000E2,2.141074020E2,3.158200290E1
1.120000000E2,2.127140784E2,3.622641509E1
1.124000000E2,2.150362845E2,1.671988389E1
1.128000000E2,2.034252540E2,1.207547170E1
1.132000000E2,1.987808418E2,1.625544267E1
1.136000000E2,2.173584906E2,2.322206096E1
1.140000000E2,2.178229318E2,1.393323657E1
1.144000000E2,2.052830189E2,8.359941945E0
1.148000000E2,2.150362845E2,1.764876633E1
1.152000000E2,2.099274311E2,2.647314949E1
1.156000000E2,2.029608128E2,1.857764877E1
1.160000000E2,2.117851959E2,1.393323657E1
1.164000000E2,2.085341074E2,2.507982583E1
1.168000000E2,1.853120464E2,1.625544267E1
1.172000000E2,1.667343977E2,4.040638607E1
1.176000000E2,1.583744557E2,5.201741655E1
1.180000000E2,1.453701016E2,6.223512337E1
1.184000000E2,1.216835994E2,9.706821480E1
1.188000000E2,1.077503628E2,1.137880987E2
1.192000000E2,1.063570392E2,1.142525399E2
1.196000000E2,9.103047896E1,1.267924528E2
1.200000000E2,1.021770682E2,1.230769231E2
1.204000000E2,1.523367199E2,1.193613933E2
1.208000000E2,1.867053701E2,1.165747460E2
1.212000000E2,2.089985486E2,1.128592163E2
1.216000000E2,2.159651669E2,1.058925980E2
1.220000000E2,2.159651669E2,9.521044993E1
1.224000000E2,2.145718433E2,8.034833091E1
1.228000000E2,2.131785196E2,7.059506531E1
1.232000000E2,2.252539913E2,1.021770682E2
1.236000000E2,2.224673440E2,1.165747460E2
1.240000000E2,2.113207547E2,1.058925980E2
1.244000000E2,2.117851959E2,7.802612482E1
1.248000000E2,2.187518142E2,4.551523948E1
1.252000000E2,2.173584906E2,3.901306241E1
1.256000000E2,2.164296081E2,3.576197388E1
1.260000000E2,2.029608128E2,2.415094340E1
1.264000000E2,1.969230769E2,2.136429608E1
1.268000000E2,2.131785196E2,2.925979681E1
1.272000000E2,2.043541364E2,1.764876633E1
1.276000000E2,1.676632801E2,1.207547170E1
1.280000000E2,1.044992743E2,1.207547170E1
1.284000000E2,7.941944848E1,1.207547170E1
1.288000000E2,4.179970972E1,7.895500726E0
1.292000000E2,2.554426705E1,1.114658926E1
1.296000000E2,1.579100145E1,1.764876633E1
1.300000000E2,9.288824383E0,2.786647315E1
1.304000000E2,1.532656023E1,3.158200290E1
1.308000000E2,2.507982583E1,2.368650218E1
1.312000000E2,3.018867925E1,3.529753266E1
1.316000000E2,2.322206096E1,4.319303338E1
1.320000000E2,1.532656023E1,3.947750363E1
1.324000000E2,4.644412192E0,3.297532656E1
1.328000000E2,2.786647315E0,2.507982583E1
1.332000000E2,1.021770682E1,1.904208999E1
1.336000000E2,1.950653120E1,1.300435414E1
1.340000000E2,1.764876633E1,2.275761974E1
1.344000000E2,1.532656023E1,2.647314949E1
1.348000000E2,2.089985486E1,2.925979681E1
1.352000000E2,2.740203193E1,2.275761974E1
1.356000000E2,3.111756168E1,1.904208999E1
1.360000000E2,3.622641509E1,1.439767779E1
1.364000000E2,5.666182874E1,1.486211901E1
1.368000000E2,5.944847605E1,1.486211901E1
1.372000000E2,5.944847605E1,1.486211901E1
1.376000000E2,7.988388970E1,1.300435414E1
1.380000000E2,1.267924528E2,1.393323657E1
1.384000000E2,1.411901306E2,1.486211901E1
1.388000000E2,1.713788099E2,1.811320755E1
1.392000000E2,2.066763425E2,1.811320755E1
1.396000000E2,2.099274311E2,1.950653120E1
1.400000000E2,2.192162554E2,4.226415094E1
1.404000000E2,2.233962264E2,6.780841800E1
1.408000000E2,2.247895501E2,8.313497823E1
1.412000000E2,2.187518142E2,1.063570392E2
1.416000000E2,2.131785196E2,1.351523948E2
1.420000000E2,2.117851959E2,1.922786647E2
1.424000000E2,2.062119013E2,2.224673440E2
1.428000000E2,1.500145138E2,2.094629898E2
1.432000000E2,1.151814224E2,2.094629898E2
1.436000000E2,8.545718433E1,2.085341074E2
1.440000000E2,3.251088534E1,2.057474601E2
1.448000000E2,9.288824383E0,2.094629898E2
1.452000000E2,1.346879536E1,2.155007257E2
1.456000000E2,1.857764877E1,2.131785196E2
1.460000000E2,2.786647315E1,2.080696662E2
1.464000000E2,3.669085631E1,2.066763425E2
1.468000000E2,3.761973875E1,2.131785196E2
1.472000000E2,2.879535559E1,2.136429608E2
1.476000000E2,2.554426705E1,2.113207547E2
1.480000000E2,2.229317852E1,2.043541364E2
1.484000000E2,2.089985486E1,2.080696662E2
1.488000000E2,3.343976778E1,2.192162554E2
1.492000000E2,4.133526851E1,2.150362845E2
1.496000000E2,3.483309144E1,2.089985486E2
1.500000000E2,1.811320755E1,2.122496372E2
1.504000000E2,7.431059507E0,2.085341074E2
1.508000000E2,1.950653120E1,2.020319303E2
1.512000000E2,2.693759071E1,2.043541364E2
1.516000000E2,2.786647315E1,2.006386067E2
1.520000000E2,1.997097242E1,1.857764877E2
