t,x,y
503,79059444750,4.00142E+11
504,81732140910,3.8767E+11
505,77277647310,3.80542E+11
506,64805065260,3.85888E+11
507,87077533210,3.75197E+11
508,89750229370,3.94797E+11
509,1.17368E+11,4.09942E+11
510,67477761410,3.9836E+11
511,17587433200,3.92124E+11
512,19369230640,3.71633E+11
513,29169116530,3.17289E+11
514,24714622940,3.12834E+11
515,25605521660,2.95016E+11
516,23823724230,2.84325E+11
517,62132369110,2.97689E+11
518,1.1915E+11,2.83434E+11
519,30950913970,1.17727E+11
520,28278217820,1.08818E+11
521,26496420380,51800808580
522,21151028070,44673618830
523,16696534480,33982834220
524,15805635760,49128112420
525,26496420380,57146200890
526,18478331920,40219125240
527,24714622940,25964745750
528,30060015250,21510252160
529,73714052440,17055758570
530,83513938340,19728454730
531,25605521660,23292049600
532,30950913970,14383062420
533,14914737040,13492163700
534,14914737040,17055758570
535,22041926790,27746543190
536,30950913970,15273961130
537,16696534480,37546429090
538,1.26277E+11,31310138060
539,2.76839E+11,20619353440
540,2.83075E+11,25073847030
541,3.8642E+11,24182948320
542,4.03347E+11,20619353440
543,4.07801E+11,32201036780
544,4.14928E+11,27746543190
545,4.05128E+11,20619353440
546,4.09583E+11,30419239340
547,4.0691E+11,20619353440
548,3.91765E+11,20619353440
549,4.15819E+11,19728454730
550,3.96219E+11,21510252160
551,4.17601E+11,17055758570
552,4.22946E+11,21510252160
553,4.17601E+11,29528340620
554,4.09583E+11,31310138060
555,3.94438E+11,27746543190
556,3.9711E+11,18837556010
557,3.7662E+11,16164859850
558,4.09583E+11,53582606010
559,4.15819E+11,1.32873E+11
560,4.13146E+11,1.88999E+11
561,4.25619E+11,1.56036E+11
562,4.20274E+11,1.66727E+11
563,4.22055E+11,1.12382E+11
564,4.10474E+11,1.79199E+11
565,4.02456E+11,3.27979E+11
566,3.98892E+11,3.09271E+11
567,3.91765E+11,3.66288E+11
568,4.04237E+11,4.03706E+11
569,4.02456E+11,3.8767E+11
570,3.74838E+11,3.95688E+11
571,3.16039E+11,4.04597E+11
572,2.99111E+11,3.79652E+11
573,2.98221E+11,3.81433E+11
574,1.81513E+11,3.88561E+11
575,1.31622E+11,4.03706E+11
576,61241470390,3.92124E+11
577,34514508840,3.84997E+11
578,15805635760,3.63615E+11
579,18478331920,3.63615E+11
580,15805635760,3.79652E+11
581,49659787050,3.84997E+11
582,49659787050,3.76979E+11
583,45205293460,3.95688E+11
584,51441584490,3.90342E+11
585,19369230640,3.86779E+11
586,20260129350,4.04597E+11
587,60350571670,4.0816E+11
588,71932255010,4.12615E+11
589,64805065260,4.11724E+11
590,48768888330,4.02815E+11
