t,x,y
7.720000000E1,1.681751825E1,1.952700730E2
7.760000000E1,1.635036496E1,1.966715328E2
7.800000000E1,2.055474453E1,2.046131387E2
7.840000000E1,3.550364964E1,2.064817518E2
7.880000000E1,5.091970803E1,2.064817518E2
7.920000000E1,8.221897810E1,1.709781022E2
7.960000000E1,1.088467153E2,1.962043796E2
8.000000000E1,1.139854015E2,1.896642336E2
8.040000000E1,1.527591241E2,2.069489051E2
8.080000000E1,1.616350365E2,2.120875912E2
8.120000000E1,1.625693431E2,2.102189781E2
8.160000000E1,1.957372263E2,2.125547445E2
8.200000000E1,1.980729927E2,2.134890511E2
8.240000000E1,2.046131387E2,2.125547445E2
8.280000000E1,2.046131387E2,2.125547445E2
8.320000000E1,2.069489051E2,2.148905109E2
8.360000000E1,2.027445255E2,1.901313869E2
8.400000000E1,2.008759124E2,1.821897810E2
8.440000000E1,2.120875912E2,1.079124088E2
8.480000000E1,2.055474453E2,7.894890511E1
8.520000000E1,2.106861314E2,4.017518248E1
8.560000000E1,2.083503650E2,6.072992701E0
8.600000000E1,2.083503650E2,7.474452555E0
8.640000000E1,2.247007299E2,6.072992701E0
8.680000000E1,2.102189781E2,1.868613139E0
8.720000000E1,2.102189781E2,3.737226277E0
8.760000000E1,1.868613139E2,1.962043796E1
8.800000000E1,1.719124088E2,2.195620438E1
8.840000000E1,1.667737226E2,1.962043796E1
8.880000000E1,1.635036496E2,2.569343066E1
8.920000000E1,1.700437956E2,2.849635036E1
8.960000000E1,1.681751825E2,3.503649635E1
9.000000000E1,1.658394161E2,3.690510949E1
9.040000000E1,1.658394161E2,3.690510949E1
9.080000000E1,1.653722628E2,3.550364964E1
9.120000000E1,1.653722628E2,3.550364964E1
9.160000000E1,1.649051095E2,2.475912409E1
9.200000000E1,1.649051095E2,2.522627737E1
9.240000000E1,1.653722628E2,2.569343066E1
9.280000000E1,1.583649635E2,2.429197080E1
9.320000000E1,1.541605839E2,2.148905109E1
9.360000000E1,1.522919708E2,2.055474453E1
9.400000000E1,1.336058394E2,1.775182482E1
9.440000000E1,1.037080292E2,1.401459854E1
9.480000000E1,8.362043796E1,1.121167883E1
9.520000000E1,4.110948905E1,1.962043796E1
9.560000000E1,1.915328467E1,1.494890511E1
9.600000000E1,1.261313869E1,1.261313869E1
9.640000000E1,1.448175182E1,9.810218978E0
9.680000000E1,2.662773723E1,9.810218978E0
9.720000000E1,1.821897810E1,2.102189781E1
9.760000000E1,1.541605839E1,2.569343066E1
9.800000000E1,3.924087591E1,5.372262774E1
9.840000000E1,3.597080292E1,1.130510949E2
9.880000000E1,3.456934307E1,1.345401460E2
9.920000000E1,3.410218978E1,1.359416058E2
9.960000000E1,4.671532847E0,1.373430657E2
1.000000000E2,5.605839416E0,1.382773723E2
1.004000000E2,2.055474453E1,1.387445255E2
1.008000000E2,1.074452555E2,1.448175182E2
1.012000000E2,1.093138686E2,1.209927007E2
1.016000000E2,1.093138686E2,1.186569343E2
1.020000000E2,7.381021898E1,9.296350365E1
1.024000000E2,5.652554745E1,7.287591241E1
1.028000000E2,5.091970803E1,6.633576642E1
1.032000000E2,5.091970803E1,5.325547445E1
1.036000000E2,3.690510949E1,6.306569343E1
1.040000000E2,3.690510949E1,6.259854015E1
1.044000000E2,2.569343066E1,6.306569343E1
1.048000000E2,1.354744526E1,6.213138686E1
1.052000000E2,1.728467153E1,6.633576642E1
1.056000000E2,7.007299270E1,5.465693431E1
1.060000000E2,6.773722628E1,5.465693431E1
1.064000000E2,6.820437956E1,4.718248175E1
1.068000000E2,8.268613139E1,1.354744526E1
1.072000000E2,1.172554745E2,1.308029197E1
1.076000000E2,1.186569343E2,1.261313869E1
1.080000000E2,1.644379562E2,8.875912409E0
1.084000000E2,1.630364964E2,1.868613139E0
1.088000000E2,1.621021898E2,1.868613139E0
1.092000000E2,1.756496350E2,7.474452555E0
1.096000000E2,2.004087591E2,9.343065693E0
1.100000000E2,2.041459854E2,1.214598540E1
1.104000000E2,2.041459854E2,1.214598540E1
1.108000000E2,2.209635036E2,8.875912409E0
1.112000000E2,2.214306569E2,1.261313869E1
1.116000000E2,2.237664234E2,1.308029197E1
1.120000000E2,1.910656934E2,9.202919708E1
1.124000000E2,1.863941606E2,1.116496350E2
1.128000000E2,2.027445255E2,1.607007299E2
1.132000000E2,2.036788321E2,1.635036496E2
1.136000000E2,2.078832117E2,1.691094891E2
1.140000000E2,1.938686131E2,1.630364964E2
1.144000000E2,1.532262774E2,1.214598540E2
1.148000000E2,1.504233577E2,1.214598540E2
1.152000000E2,5.605839416E1,1.214598540E2
1.156000000E2,3.036496350E1,1.242627737E2
1.160000000E2,2.662773723E1,1.233284672E2
1.164000000E2,4.344525547E1,9.062773723E1
1.168000000E2,4.204379562E1,8.408759124E1
1.172000000E2,3.503649635E1,6.913868613E1
1.176000000E2,5.559124088E1,6.586861314E1
1.180000000E2,4.858394161E1,6.306569343E1
1.184000000E2,4.624817518E1,4.578102190E1
1.188000000E2,4.624817518E1,4.578102190E1
1.192000000E2,4.951824818E1,3.503649635E1
1.196000000E2,5.512408759E1,2.989781022E1
1.200000000E2,5.605839416E1,2.802919708E1
1.204000000E2,5.278832117E1,1.013722628E2
1.208000000E2,5.232116788E1,1.037080292E2
1.212000000E2,2.429197080E1,1.420145985E2
1.216000000E2,1.541605839E1,1.504233577E2
1.220000000E2,1.635036496E1,1.546277372E2
1.224000000E2,1.214598540E1,2.069489051E2
1.228000000E2,6.540145985E0,2.102189781E2
1.232000000E2,6.540145985E0,2.102189781E2
1.236000000E2,6.540145985E0,2.102189781E2
1.240000000E2,6.540145985E0,2.102189781E2
1.244000000E2,8.408759124E0,2.092846715E2
1.248000000E2,1.775182482E1,2.036788321E2
1.252000000E2,2.008759124E1,2.046131387E2
1.256000000E2,2.102189781E1,2.050802920E2
1.260000000E2,2.102189781E1,2.050802920E2
1.264000000E2,4.951824818E1,2.046131387E2
1.268000000E2,4.998540146E1,2.027445255E2
1.272000000E2,4.998540146E1,2.027445255E2
1.276000000E2,4.531386861E1,1.233284672E2
1.280000000E2,4.297810219E1,1.233284672E2
1.284000000E2,4.064233577E1,1.256642336E2
1.288000000E2,4.064233577E1,1.256642336E2
1.292000000E2,3.316788321E1,1.354744526E2
1.296000000E2,2.756204380E1,1.438832117E2
1.300000000E2,2.335766423E1,1.443503650E2
1.304000000E2,2.709489051E1,1.457518248E2
1.308000000E2,2.756204380E1,1.438832117E2
1.312000000E2,8.408759124E1,1.107153285E2
1.316000000E2,9.249635036E1,6.913868613E1
1.320000000E2,1.023065693E2,5.886131387E1
1.324000000E2,9.856934307E1,4.624817518E1
1.328000000E2,9.856934307E1,4.718248175E1
1.332000000E2,9.856934307E1,4.718248175E1
1.336000000E2,8.268613139E1,4.064233577E1
1.340000000E2,8.315328467E1,5.372262774E1
1.344000000E2,8.502189781E1,5.465693431E1
1.348000000E2,8.642335766E1,5.699270073E1
1.352000000E2,8.642335766E1,5.699270073E1
1.356000000E2,8.128467153E1,6.306569343E1
1.360000000E2,7.614598540E1,6.306569343E1
1.364000000E2,7.988321168E1,7.194160584E1
1.368000000E2,1.153868613E2,4.811678832E1
1.372000000E2,1.158540146E2,3.456934307E1
1.376000000E2,1.186569343E2,1.728467153E1
1.380000000E2,1.340729927E2,1.588321168E1
1.384000000E2,1.438832117E2,1.261313869E1
1.388000000E2,1.438832117E2,1.261313869E1
1.392000000E2,2.060145985E2,1.214598540E1
1.396000000E2,2.046131387E2,1.214598540E1
1.400000000E2,2.046131387E2,1.214598540E1
1.404000000E2,2.046131387E2,1.214598540E1
1.408000000E2,2.144233577E2,7.474452555E0
1.412000000E2,2.153576642E2,8.408759124E0
1.416000000E2,2.153576642E2,8.408759124E0
1.420000000E2,2.078832117E2,3.737226277E1
1.424000000E2,2.055474453E2,3.550364964E1
1.428000000E2,1.518248175E2,6.446715328E1
1.432000000E2,1.340729927E2,8.081751825E1
1.436000000E2,1.317372263E2,8.735766423E1
1.440000000E2,1.102481752E2,1.205255474E2
1.444000000E2,1.018394161E2,1.354744526E2
1.448000000E2,9.670072993E1,1.429489051E2
1.452000000E2,9.062773723E1,1.840583942E2
1.456000000E2,8.642335766E1,2.158248175E2
1.460000000E2,8.642335766E1,2.158248175E2
1.464000000E2,1.079124088E2,2.167591241E2
1.468000000E2,1.242627737E2,2.130218978E2
1.472000000E2,1.373430657E2,2.120875912E2
1.476000000E2,1.420145985E2,2.130218978E2
1.480000000E2,1.457518248E2,2.158248175E2
1.484000000E2,1.462189781E2,2.158248175E2
1.488000000E2,1.462189781E2,2.158248175E2
1.492000000E2,1.957372263E2,1.952700730E2
1.496000000E2,2.013430657E2,2.190948905E2
1.500000000E2,2.055474453E2,2.195620438E2
1.504000000E2,2.036788321E2,1.985401460E2
1.508000000E2,2.036788321E2,1.934014599E2
1.512000000E2,2.027445255E2,1.896642336E2
1.516000000E2,2.046131387E2,1.812554745E2
1.520000000E2,2.060145985E2,1.728467153E2
1.524000000E2,2.055474453E2,1.569635036E2
1.528000000E2,2.055474453E2,1.504233577E2
1.532000000E2,2.032116788E2,1.023065693E2
1.536000000E2,2.060145985E2,1.023065693E2
1.540000000E2,2.046131387E2,9.389781022E1
1.544000000E2,2.050802920E2,7.941605839E1
1.548000000E2,2.069489051E2,7.381021898E1
1.552000000E2,2.092846715E2,4.811678832E1
1.556000000E2,2.158248175E2,2.242335766E1
1.560000000E2,2.148905109E2,1.354744526E1
1.564000000E2,1.877956204E2,1.308029197E1
1.568000000E2,1.821897810E2,1.074452555E1
1.572000000E2,1.457518248E2,4.531386861E1
1.576000000E2,1.303357664E2,5.091970803E1
1.580000000E2,1.303357664E2,5.138686131E1
1.584000000E2,1.298686131E2,5.091970803E1
1.588000000E2,8.969343066E1,3.597080292E1
1.592000000E2,8.175182482E1,3.783941606E1
1.596000000E2,2.475912409E1,2.148905109E1
1.600000000E2,1.821897810E1,1.915328467E1
1.604000000E2,1.728467153E1,1.728467153E1
1.608000000E2,4.671532847E1,1.261313869E1
1.612000000E2,6.913868613E1,9.343065693E0
1.616000000E2,6.586861314E1,7.474452555E0
1.620000000E2,6.586861314E1,7.474452555E0
1.624000000E2,3.410218978E1,1.401459854E1
1.628000000E2,2.989781022E1,1.308029197E1
1.632000000E2,2.802919708E1,1.261313869E1
1.636000000E2,2.148905109E1,1.167883212E1
1.640000000E2,2.055474453E1,1.401459854E1
1.644000000E2,2.008759124E1,1.401459854E1
1.648000000E2,2.008759124E1,1.868613139E1
1.652000000E2,2.382481752E1,1.448175182E1
1.656000000E2,2.382481752E1,1.448175182E1
1.660000000E2,3.597080292E1,1.214598540E1
1.664000000E2,6.306569343E1,1.308029197E1
1.668000000E2,6.727007299E1,1.121167883E1
1.672000000E2,1.088467153E2,1.915328467E1
1.676000000E2,1.041751825E2,6.072992701E0
1.680000000E2,9.716788321E1,6.072992701E0
